,,１２半形字元換行,,,１４半形字元換行,１５全形字元換行,,,,
,,number,category,brand,model,item,price,retail price,price 6,link
茂 訊-AR-1200MZL-1200P磁力鎖（支架）,茂 訊 1200P磁力鎖（支架）,9EYSYAR1200MZL,門 禁 對 講,茂 訊,AR-1200MZL,1200P磁力鎖（支架）,786,1100,611,https://drive.google.com/open?id=14yhI4EQk3-hm5izUrTaYFjq7lnj9pU2x&usp=drive_copy
茂 訊-AR-1207A-陽極鎖（斷電開）,茂 訊 陽極鎖（斷電開）,9EASYAR1207A,門 禁 對 講,茂 訊,AR-1207A,陽極鎖（斷電開）,1600,2000,1152,https://drive.google.com/open?id=14NEKvEfDHV-5qia8d1bsUtixNgMkYPJx&usp=drive_copy
茂 訊-AR-1213P-櫃子鎖,茂 訊 櫃子鎖,9EGSYAR1213P,門 禁 對 講,茂 訊,AR-1213P,櫃子鎖,343,440,274,https://drive.google.com/open?id=15DPfRhL-iaqewyzbWTOWIocvuyw0W7ji&usp=drive_copy
茂 訊-AR-401-IO-0016R-X-16樓層控制器（塑膠殼底座）,茂 訊 16樓層控制器（塑膠殼底座）,9EASYAR401IO0016RM,通 訊 協 定,茂 訊,AR-401-IO-0016R-X,16樓層控制器（塑膠殼底座）,3427.29,4520,2741.83,https://drive.google.com/open?id=1s4am_VY5Clk0vkZV1rVJOUYzASL9sij6&usp=drive_copy
茂 訊-AR-401-IO-0016R-M-16樓層控制器,茂 訊 16樓層控制器,9EASYAR401IO0016RX,通 訊 協 定,茂 訊,AR-401-IO-0016R-M,16樓層控制器,2468,3600,1974,https://drive.google.com/open?id=1gTTZk1la4HP4NtQyF9ladVUnQF5ZNo8m&usp=drive_copy
茂 訊-AR-403MO4DI4-模組：I／O,茂 訊 模組：I／O,9ESYAR403MO,通 訊 協 定,茂 訊,AR-403MO4DI4,模組：I／O,660,760,528,https://drive.google.com/open?id=1fsFq-mLyKYorIUl1y-AS_3LYn104gZ1t&usp=drive_copy
茂 訊-AR-716-E18-M-A-多門連網控制器（18門）,茂 訊 多門連網控制器（18門）,9EASYAR716E18MA,通 訊 協 定,茂 訊,AR-716-E18-M-A,多門連網控制器（18門）,8637,12600,6909,https://drive.google.com/open?id=1JE_ZLsfU0SWC42pxh5C5X2ZOWIy2wBfi&usp=drive_copy
茂 訊-AR-321L485-5V-TTL轉RS-485轉換器（5V）,茂 訊 TTL轉RS-485轉換器（5V）,9ESAR321L485,門 禁 對 講,茂 訊,AR-321L485-5V,TTL轉RS-485轉換器（5V）,400,600,339,https://drive.google.com/open?id=1Zk9Qcm6o_UKIfF5bYmx83ou4AmpTqOLK&usp=drive_copy
茂 訊-AR-485REP-V3-多重隔離RS485中繼放大器,茂 訊 多重隔離RS485中繼放大器,9EAMCAR485REPV3,門 禁 對 講,茂 訊,AR-485REP-V3,多重隔離RS485中繼放大器,1429,2000,1064,https://drive.google.com/open?id=1JZmlqSxrm7jGeiuNe_S8c_faMl27MyaX&usp=drive_copy
茂 訊-AR-727-CM-485-串列設備連網控制器,茂 訊 串列設備連網控制器,9EBAESY727CMV3,門 禁 對 講,茂 訊,AR-727-CM-485,串列設備連網控制器,1530,2250,1300,https://drive.google.com/open?id=1EBGMfDp_W3XFP8YSXBpxo2SwuICyUB4a&usp=drive_copy
